0.6418 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
21.6332 	EXP 	Created Instructions_6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='Instructions_6', opacity=1, ori=0, pos=array([0. , 0.8]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
21.7064 	EXP 	Sound Beep set volume 1.000
21.7087 	EXP 	Created feedback_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='feedback_txt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
21.7147 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_4', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Long example begins ...', units='norm', win=Window(...), wrapWidth=1)
21.7196 	EXP 	Created Instructions_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='Instructions_3', opacity=1, ori=0, pos=array([0. , 0.8]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
22.1400 	EXP 	Created Instructions_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='Instructions_5', opacity=1, ori=0, pos=array([0. , 0.8]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
22.1436 	EXP 	Created Instructions_6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='Instructions_6', opacity=1, ori=0, pos=array([0. , 0.8]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
22.1440 	EXP 	Sound Beep set volume 1.000
22.1451 	EXP 	Created feedback_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='feedback_txt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
22.1510 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Main training Begins ...', units='norm', win=Window(...), wrapWidth=1)
22.1550 	EXP 	Created Instructions_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='Instructions_3', opacity=1, ori=0, pos=array([0. , 0.8]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
22.5712 	EXP 	Created Instructions_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='Instructions_5', opacity=1, ori=0, pos=array([0. , 0.8]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
22.5749 	EXP 	Created Instructions_6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='Instructions_6', opacity=1, ori=0, pos=array([0. , 0.8]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
22.5754 	EXP 	Sound Beep set volume 1.000
22.5897 	EXP 	window1: mouseVisible = True
22.6061 	EXP 	Created timing_slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=1.0, labelHeight=0.07, labelWrapWidth=None, labels=('0ms', '1000ms'), name='timing_slider', opacity=None, pos=(0, -0.4), readOnly=False, self=UNKNOWN, size=(1.5, 0.2), startValue=None, style=method-wrapper(...), styleTweaks=method-wrapper(...), ticks=array([   0, 1000]), units='norm', win=Window(...))
22.6336 	EXP 	window1: mouseVisible = True
22.6540 	EXP 	Created timing_question = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.09, italic=False, languageStyle='LTR', name='timing_question', opacity=1, ori=0, pos=array([0. , 0.1]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
22.6552 	EXP 	Created feedback_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='feedback_txt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
22.6652 	EXP 	Created Instructions_7 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Instructions_7', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='Thanks for participating', units='norm', win=Window(...), wrapWidth=1)
22.6658 	EXP 	window1: mouseVisible = False
22.6755 	WARNING 	t of last frame was 3923.47ms (=1/0)
22.6755 	EXP 	timing_slider: autoLog = True
22.6755 	EXP 	timing_slider: markerPos = None
22.6755 	EXP 	timing_slider: rating = None
22.6755 	EXP 	timing_slider: markerPos = None
22.6755 	EXP 	timing_slider: contrast = 1.0
22.6755 	EXP 	timing_slider: autoLog = True
22.6755 	EXP 	timing_slider: styleTweaks = []
22.6755 	EXP 	timing_slider: style = 'slider'
22.6755 	EXP 	timing_slider: styleTweaks = []
22.6755 	EXP 	Timetext: autoLog = True
22.6755 	EXP 	Instructions_2: autoDraw = True
34.1217 	WARNING 	t of last frame was 20.12ms (=1/49)
36.1536 	WARNING 	t of last frame was 20.07ms (=1/49)
36.5536 	WARNING 	t of last frame was 20.01ms (=1/49)
36.9375 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
62.2866 	EXP 	Instructions_2: autoDraw = False
62.2866 	EXP 	text_3: autoDraw = True
63.2880 	EXP 	Imported cond_short.xlsx as conditions, 5 conditions, 2 params
63.2887 	EXP 	Created sequence: random, trialTypes=5, nReps=1, seed=None
63.2889 	EXP 	New trial (rep=0, index=0): {'delaymain': 0, 'delayms': '0ms'}
63.2890 	EXP 	window1: mouseVisible = False
63.2958 	EXP 	text_3: autoDraw = False
63.2958 	EXP 	text_3: autoDraw = False
63.2958 	EXP 	Instructions_3: autoDraw = True
65.7205 	EXP 	Instructions_3: autoDraw = False
65.7205 	EXP 	Instructions_5: autoDraw = True
65.7205 	EXP 	Instructions_5: autoDraw = False
65.7205 	EXP 	Instructions_5: autoDraw = False
65.7205 	EXP 	Instructions_6: autoDraw = True
65.8340 	EXP 	Instructions_6: autoDraw = False
65.8340 	EXP 	feedback_txt: text = '0ms'
65.8340 	EXP 	feedback_txt: autoDraw = True
66.4214 	EXP 	New trial (rep=0, index=1): {'delaymain': 0, 'delayms': '0ms'}
66.4215 	EXP 	window1: mouseVisible = False
66.4345 	EXP 	feedback_txt: autoDraw = False
66.4345 	EXP 	Instructions_3: autoDraw = True
70.4506 	EXP 	Instructions_3: autoDraw = False
70.4506 	EXP 	Instructions_5: autoDraw = True
70.4506 	EXP 	Instructions_5: autoDraw = False
70.4506 	EXP 	Instructions_5: autoDraw = False
70.4506 	EXP 	Instructions_6: autoDraw = True
70.5534 	EXP 	Instructions_6: autoDraw = False
70.5677 	EXP 	Instructions_6: autoDraw = False
70.5677 	EXP 	feedback_txt: text = '0ms'
70.5677 	EXP 	feedback_txt: autoDraw = True
71.1541 	EXP 	New trial (rep=0, index=2): {'delaymain': 0, 'delayms': '0ms'}
71.1543 	EXP 	window1: mouseVisible = False
71.1681 	EXP 	feedback_txt: autoDraw = False
71.1681 	EXP 	Instructions_3: autoDraw = True
72.2342 	EXP 	Instructions_3: autoDraw = False
72.2342 	EXP 	Instructions_5: autoDraw = True
72.2342 	EXP 	Instructions_5: autoDraw = False
72.2342 	EXP 	Instructions_5: autoDraw = False
72.2342 	EXP 	Instructions_6: autoDraw = True
72.3345 	EXP 	Instructions_6: autoDraw = False
72.3345 	EXP 	Instructions_6: autoDraw = False
72.3345 	EXP 	feedback_txt: text = '0ms'
72.3345 	EXP 	feedback_txt: autoDraw = True
72.9206 	EXP 	New trial (rep=0, index=3): {'delaymain': 0, 'delayms': '0ms'}
72.9208 	EXP 	window1: mouseVisible = False
72.9339 	EXP 	feedback_txt: autoDraw = False
72.9339 	EXP 	feedback_txt: autoDraw = False
72.9339 	EXP 	Instructions_3: autoDraw = True
73.5008 	EXP 	Instructions_3: autoDraw = False
73.5008 	EXP 	Instructions_5: autoDraw = True
73.5008 	EXP 	Instructions_5: autoDraw = False
73.5008 	EXP 	Instructions_5: autoDraw = False
73.5008 	EXP 	Instructions_6: autoDraw = True
73.6032 	EXP 	Instructions_6: autoDraw = False
73.6175 	EXP 	Instructions_6: autoDraw = False
73.6175 	EXP 	feedback_txt: text = '0ms'
73.6175 	EXP 	feedback_txt: autoDraw = True
74.2013 	EXP 	New trial (rep=0, index=4): {'delaymain': 0, 'delayms': '0ms'}
74.2015 	EXP 	window1: mouseVisible = False
74.2176 	EXP 	feedback_txt: autoDraw = False
74.2176 	EXP 	Instructions_3: autoDraw = True
74.6175 	EXP 	Instructions_3: autoDraw = False
74.6175 	EXP 	Instructions_5: autoDraw = True
74.6175 	EXP 	Instructions_5: autoDraw = False
74.6175 	EXP 	Instructions_5: autoDraw = False
74.6175 	EXP 	Instructions_6: autoDraw = True
74.7205 	EXP 	Instructions_6: autoDraw = False
74.7205 	EXP 	Instructions_6: autoDraw = False
74.7205 	EXP 	feedback_txt: text = '0ms'
74.7205 	EXP 	feedback_txt: autoDraw = True
75.3339 	EXP 	feedback_txt: autoDraw = False
75.3339 	EXP 	text_4: autoDraw = True
76.3387 	EXP 	Imported cond_long.xlsx as conditions, 5 conditions, 2 params
76.3391 	EXP 	Created sequence: random, trialTypes=5, nReps=1, seed=None
76.3393 	EXP 	New trial (rep=0, index=0): {'delaymain': 1, 'delayms': '1000ms'}
76.3394 	EXP 	window1: mouseVisible = False
76.3438 	EXP 	text_4: autoDraw = False
76.3438 	EXP 	Instructions_3: autoDraw = True
77.4840 	EXP 	Instructions_3: autoDraw = False
77.4840 	EXP 	Instructions_5: autoDraw = True
78.4839 	EXP 	Instructions_5: autoDraw = False
78.4839 	EXP 	Instructions_5: autoDraw = False
78.4839 	EXP 	Instructions_6: autoDraw = True
78.5837 	EXP 	Instructions_6: autoDraw = False
78.5837 	EXP 	Instructions_6: autoDraw = False
78.5837 	EXP 	feedback_txt: text = '1000ms'
78.5837 	EXP 	feedback_txt: autoDraw = True
79.1683 	EXP 	New trial (rep=0, index=1): {'delaymain': 1, 'delayms': '1000ms'}
79.1685 	EXP 	window1: mouseVisible = False
79.1838 	EXP 	feedback_txt: autoDraw = False
79.1838 	EXP 	feedback_txt: autoDraw = False
79.1838 	EXP 	Instructions_3: autoDraw = True
79.5007 	EXP 	Instructions_3: autoDraw = False
79.5007 	EXP 	Instructions_5: autoDraw = True
80.5006 	EXP 	Instructions_5: autoDraw = False
80.5006 	EXP 	Instructions_5: autoDraw = False
80.5006 	EXP 	Instructions_6: autoDraw = True
80.6006 	EXP 	Instructions_6: autoDraw = False
80.6006 	EXP 	Instructions_6: autoDraw = False
80.6006 	EXP 	feedback_txt: text = '1000ms'
80.6006 	EXP 	feedback_txt: autoDraw = True
81.1844 	EXP 	New trial (rep=0, index=2): {'delaymain': 1, 'delayms': '1000ms'}
81.1845 	EXP 	window1: mouseVisible = False
81.2043 	EXP 	feedback_txt: autoDraw = False
81.2043 	EXP 	feedback_txt: autoDraw = False
81.2043 	EXP 	Instructions_3: autoDraw = True
81.5007 	EXP 	Instructions_3: autoDraw = False
81.5007 	EXP 	Instructions_5: autoDraw = True
82.5006 	EXP 	Instructions_5: autoDraw = False
82.5006 	EXP 	Instructions_5: autoDraw = False
82.5006 	EXP 	Instructions_6: autoDraw = True
82.6005 	EXP 	Instructions_6: autoDraw = False
82.6005 	EXP 	feedback_txt: text = '1000ms'
82.6005 	EXP 	feedback_txt: autoDraw = True
83.1870 	EXP 	New trial (rep=0, index=3): {'delaymain': 1, 'delayms': '1000ms'}
83.1872 	EXP 	window1: mouseVisible = False
83.2009 	EXP 	feedback_txt: autoDraw = False
83.2009 	EXP 	Instructions_3: autoDraw = True
83.7012 	EXP 	Instructions_3: autoDraw = False
83.7012 	EXP 	Instructions_5: autoDraw = True
84.7005 	EXP 	Instructions_5: autoDraw = False
84.7005 	EXP 	Instructions_5: autoDraw = False
84.7005 	EXP 	Instructions_6: autoDraw = True
84.8007 	EXP 	Instructions_6: autoDraw = False
84.8007 	EXP 	Instructions_6: autoDraw = False
84.8007 	EXP 	feedback_txt: text = '1000ms'
84.8007 	EXP 	feedback_txt: autoDraw = True
85.3871 	EXP 	New trial (rep=0, index=4): {'delaymain': 1, 'delayms': '1000ms'}
85.3873 	EXP 	window1: mouseVisible = False
85.4015 	EXP 	feedback_txt: autoDraw = False
85.4015 	EXP 	feedback_txt: autoDraw = False
85.4015 	EXP 	Instructions_3: autoDraw = True
85.8176 	EXP 	Instructions_3: autoDraw = False
85.8176 	EXP 	Instructions_5: autoDraw = True
86.8175 	EXP 	Instructions_5: autoDraw = False
86.8175 	EXP 	Instructions_5: autoDraw = False
86.8175 	EXP 	Instructions_6: autoDraw = True
86.9174 	EXP 	Instructions_6: autoDraw = False
86.9174 	EXP 	Instructions_6: autoDraw = False
86.9174 	EXP 	feedback_txt: text = '1000ms'
86.9174 	EXP 	feedback_txt: autoDraw = True
87.5175 	EXP 	feedback_txt: autoDraw = False
87.5175 	EXP 	feedback_txt: autoDraw = False
87.5175 	EXP 	text_2: autoDraw = True
88.5200 	EXP 	Imported cond_LR_prac.xlsx as conditions, 11 conditions, 2 params
88.5205 	EXP 	Created sequence: random, trialTypes=11, nReps=3, seed=None
88.5207 	EXP 	New trial (rep=0, index=0): {'delaymain': 1, 'delayms': '1000ms'}
88.5209 	EXP 	window1: mouseVisible = False
88.5251 	EXP 	text_2: autoDraw = False
88.5251 	EXP 	text_2: autoDraw = False
88.5251 	EXP 	Instructions_3: autoDraw = True
89.5175 	EXP 	Instructions_3: autoDraw = False
89.5175 	EXP 	Instructions_5: autoDraw = True
90.5173 	EXP 	Instructions_5: autoDraw = False
90.5173 	EXP 	Instructions_5: autoDraw = False
90.5173 	EXP 	Instructions_6: autoDraw = True
90.6196 	EXP 	Instructions_6: autoDraw = False
90.6205 	EXP 	window1: mouseVisible = True
90.6610 	EXP 	Instructions_6: autoDraw = False
90.6610 	EXP 	timing_slider: markerPos = None
90.6610 	EXP 	timing_slider: markerPos = None
90.6610 	EXP 	timing_slider: rating = None
90.6610 	EXP 	timing_slider: autoDraw = True
90.6610 	EXP 	Timetext: autoDraw = True
90.6610 	EXP 	timing_question: autoDraw = True
96.1925 	DATA 	Mouse: Left button down, pos=(1470,329)
96.1928 	DATA 	Mouse:  Left button up, pos=(1470,329)
96.1931 	DATA 	Mouse: Left button down, pos=(1470,329)
96.2165 	EXP 	timing_slider: markerPos = 927.0833333333333
96.2365 	EXP 	timing_slider: markerPos = 927.0833333333333
96.2494 	EXP 	timing_slider: markerPos = 927.0833333333333
96.2665 	EXP 	timing_slider: markerPos = 927.0833333333333
96.2833 	EXP 	timing_slider: markerPos = 927.0833333333333
96.3002 	EXP 	timing_slider: markerPos = 927.0833333333333
96.3169 	EXP 	timing_slider: markerPos = 927.0833333333333
96.3335 	EXP 	timing_slider: markerPos = 926.3392857142858
96.3520 	EXP 	timing_slider: markerPos = 918.8988095238095
96.3695 	EXP 	timing_slider: markerPos = 906.25
96.3830 	EXP 	timing_slider: markerPos = 879.4642857142858
96.4005 	EXP 	timing_slider: markerPos = 816.2202380952382
96.4166 	EXP 	timing_slider: markerPos = 776.7857142857143
96.4333 	EXP 	timing_slider: markerPos = 740.327380952381
96.4499 	EXP 	timing_slider: markerPos = 702.3809523809523
96.4668 	EXP 	timing_slider: markerPos = 683.7797619047618
96.4835 	EXP 	timing_slider: markerPos = 674.8511904761905
96.5012 	EXP 	timing_slider: markerPos = 665.922619047619
96.5160 	EXP 	timing_slider: markerPos = 665.1785714285714
96.5333 	EXP 	timing_slider: markerPos = 664.4345238095239
96.5505 	EXP 	timing_slider: markerPos = 664.4345238095239
96.5665 	EXP 	timing_slider: markerPos = 664.4345238095239
96.5836 	EXP 	timing_slider: markerPos = 664.4345238095239
96.6004 	EXP 	timing_slider: markerPos = 664.4345238095239
96.6165 	EXP 	timing_slider: markerPos = 664.4345238095239
96.6335 	EXP 	timing_slider: markerPos = 664.4345238095239
96.6341 	DATA 	Mouse:  Left button up, pos=(1117,391)
96.6505 	EXP 	timing_slider: markerPos = 664.0
96.6505 	EXP 	timing_slider: rating = 664.0
103.0723 	DATA 	Mouse: Left button down, pos=(231,345)
103.0726 	DATA 	Mouse:  Left button up, pos=(231,345)
103.0728 	DATA 	Mouse: Left button down, pos=(231,345)
103.0839 	EXP 	timing_slider: markerPos = 5.208333333333314
103.0999 	EXP 	timing_slider: markerPos = 5.208333333333314
103.1165 	EXP 	timing_slider: markerPos = 5.208333333333314
103.1335 	EXP 	timing_slider: markerPos = 5.208333333333314
103.1502 	EXP 	timing_slider: markerPos = 5.208333333333314
103.1510 	DATA 	Mouse:  Left button up, pos=(231,345)
103.1674 	EXP 	timing_slider: markerPos = 5.0
103.1674 	EXP 	timing_slider: rating = 5.0
103.2345 	DATA 	Mouse: Left button down, pos=(231,345)
103.2504 	EXP 	timing_slider: markerPos = 5.208333333333314
103.2670 	EXP 	timing_slider: markerPos = 5.208333333333314
103.2838 	EXP 	timing_slider: markerPos = 5.208333333333314
103.3008 	EXP 	timing_slider: markerPos = 5.208333333333314
103.3123 	DATA 	Mouse:  Left button up, pos=(231,345)
103.3178 	EXP 	timing_slider: markerPos = 5.208333333333314
103.3358 	EXP 	timing_slider: markerPos = 5.0
103.3358 	EXP 	timing_slider: rating = 5.0
104.0848 	DATA 	Mouse: Left button down, pos=(699,322)
104.0851 	DATA 	Mouse:  Left button up, pos=(699,322)
104.0854 	DATA 	Mouse: Left button down, pos=(699,322)
104.1006 	EXP 	timing_slider: markerPos = 353.4226190476191
104.1179 	EXP 	timing_slider: markerPos = 353.4226190476191
104.1332 	EXP 	timing_slider: markerPos = 353.4226190476191
104.1502 	EXP 	timing_slider: markerPos = 353.4226190476191
104.1607 	DATA 	Mouse:  Left button up, pos=(699,322)
104.1669 	EXP 	timing_slider: markerPos = 353.4226190476191
104.1835 	EXP 	timing_slider: markerPos = 353.0
104.1835 	EXP 	timing_slider: rating = 353.0
104.2341 	DATA 	Mouse: Left button down, pos=(699,322)
104.2506 	EXP 	timing_slider: markerPos = 353.4226190476191
104.2670 	EXP 	timing_slider: markerPos = 353.4226190476191
104.2840 	EXP 	timing_slider: markerPos = 353.4226190476191
104.3003 	EXP 	timing_slider: markerPos = 353.4226190476191
104.3169 	EXP 	timing_slider: markerPos = 353.4226190476191
104.3340 	EXP 	timing_slider: markerPos = 353.4226190476191
104.3502 	EXP 	timing_slider: markerPos = 353.4226190476191
104.3509 	DATA 	Mouse:  Left button up, pos=(699,322)
104.3680 	EXP 	timing_slider: markerPos = 353.0
104.3680 	EXP 	timing_slider: rating = 353.0
106.3844 	DATA 	Mouse: Left button down, pos=(881,328)
106.3848 	DATA 	Mouse:  Left button up, pos=(881,328)
106.3850 	DATA 	Mouse: Left button down, pos=(881,328)
106.4008 	EXP 	timing_slider: markerPos = 488.8392857142857
106.4167 	EXP 	timing_slider: markerPos = 488.8392857142857
106.4335 	EXP 	timing_slider: markerPos = 488.8392857142857
106.4503 	EXP 	timing_slider: markerPos = 488.8392857142857
106.4668 	EXP 	timing_slider: markerPos = 488.8392857142857
106.4835 	EXP 	timing_slider: markerPos = 488.8392857142857
106.4951 	DATA 	Mouse:  Left button up, pos=(881,328)
106.5009 	EXP 	timing_slider: markerPos = 488.8392857142857
106.5187 	EXP 	timing_slider: markerPos = 489.0
106.5187 	EXP 	timing_slider: rating = 489.0
